"gene_id","SYMBOL","GENENAME","GeneType"
"105378601","LOC105378601","uncharacterized LOC105378601","ncRNA"
"112268220","LOC112268220","uncharacterized LOC112268220","ncRNA"
"107985732","LOC107985732","uncharacterized LOC107985732","ncRNA"
"105378600","LOC105378600","uncharacterized LOC105378600","ncRNA"
"105378598","LOC105378598","uncharacterized LOC105378598","ncRNA"
"107984904","LOC107984904","uncharacterized LOC107984904","ncRNA"
"105378599","LOC105378599","uncharacterized LOC105378599","ncRNA"
"140625","ACTRT2","actin related protein T2","protein-coding"
"440556","PRDM16-DT","PRDM16 divergent transcript","ncRNA"
"63976","PRDM16","PR/SET domain 16","protein-coding"
"100422968","MIR4251","microRNA 4251","ncRNA"
"105378606","LOC105378606","uncharacterized LOC105378606","ncRNA"
"107984909","LOC107984909","uncharacterized LOC107984909","ncRNA"
"105378605","LOC105378605","uncharacterized LOC105378605","ncRNA"
"105378604","LOC105378604","uncharacterized LOC105378604","ncRNA"
"27237","ARHGEF16","Rho guanine nucleotide exchange factor 16","protein-coding"
"1953","MEGF6","multiple EGF like domains 6","protein-coding"
"105378608","LOC105378608","uncharacterized LOC105378608","ncRNA"
"693135","MIR551A","microRNA 551a","ncRNA"
"105378607","LOC105378607","",""
"127262","TPRG1L","tumor protein p63 regulated 1 like","protein-coding"
"49856","WRAP73","WD repeat containing, antisense to TP73","protein-coding"
"7161","TP73","tumor protein p73","protein-coding"
"105378610","TP73-AS3","TP73 antisense RNA 3","ncRNA"
"105378609","LOC105378609","",""
"57212","TP73-AS1","TP73 antisense RNA 1","ncRNA"
"148870","CCDC27","coiled-coil domain containing 27","protein-coding"
"388588","SMIM1","small integral membrane protein 1 (Vel blood group)","protein-coding"
"57470","LRRC47","leucine rich repeat containing 47","protein-coding"
"9731","CEP104","centrosomal protein 104","protein-coding"
"1677","DFFB","DNA fragmentation factor subunit beta","protein-coding"
"107984910","LOC107984910","",""
"339448","C1orf174","chromosome 1 open reading frame 174","protein-coding"
"100133612","LINC01134","long intergenic non-protein coding RNA 1134","ncRNA"
"728716","LINC01346","long intergenic non-protein coding RNA 1346","ncRNA"
"105376672","LINC01345","long intergenic non-protein coding RNA 1345","ncRNA"
"105376673","LINC02780","long intergenic non-protein coding RNA 2780","ncRNA"
"284661","LINC01777","long intergenic non-protein coding RNA 1777","ncRNA"
"105376674","LOC105376674","uncharacterized LOC105376674","ncRNA"
"105376679","LINC01646","long intergenic non-protein coding RNA 1646","ncRNA"
"107985376","LOC107985376","",""
"55966","AJAP1","adherens junctions associated protein 1","protein-coding"
"105376680","LINC02781","long intergenic non-protein coding RNA 2781","ncRNA"
"102724429","LOC102724429","uncharacterized LOC102724429","ncRNA"
"105376681","LINC02782","long intergenic non-protein coding RNA 2782","ncRNA"
"105376682","LOC105376682","uncharacterized LOC105376682","ncRNA"
"107984911","LOC107984911","uncharacterized LOC107984911","ncRNA"
"105376686","LOC105376686","uncharacterized LOC105376686","ncRNA"
"100616421","MIR4689","microRNA 4689","ncRNA"
"261734","NPHP4","nephrocystin 4","protein-coding"
"8514","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2","protein-coding"
"26038","CHD5","chromodomain helicase DNA binding protein 5","protein-coding"
"105376687","LOC105376687","",""
"6146","RPL22","ribosomal protein L22","protein-coding"
"107985733","LOC107985733","",""
"102724450","RNF207-AS1","RNF207 antisense RNA 1","ncRNA"
"388591","RNF207","ring finger protein 207","protein-coding"
"23463","ICMT","isoprenylcysteine carboxyl methyltransferase","protein-coding"
"148645","ICMT-DT","ICMT divergent transcript","ncRNA"
"390992","HES3","hes family bHLH transcription factor 3","protein-coding"
"387509","GPR153","G protein-coupled receptor 153","protein-coding"
"11332","ACOT7","acyl-CoA thioesterase 7","protein-coding"
"54626","HES2","hes family bHLH transcription factor 2","protein-coding"
"83715","ESPN","espin","protein-coding"
"100422975","MIR4252","microRNA 4252","ncRNA"
"8718","TNFRSF25","TNF receptor superfamily member 25","protein-coding"
"57449","PLEKHG5","pleckstrin homology and RhoGEF domain containing G5","protein-coding"
"79707","NOL9","nucleolar protein 9","protein-coding"
"80835","TAS1R1","taste 1 receptor member 1","protein-coding"
"107984912","LOC107984912","uncharacterized LOC107984912","ncRNA"
"3104","ZBTB48","zinc finger and BTB domain containing 48","protein-coding"
"9903","KLHL21","kelch like family member 21","protein-coding"
"107984913","LOC107984913","uncharacterized LOC107984913","ncRNA"
"148479","PHF13","PHD finger protein 13","protein-coding"
"90326","THAP3","THAP domain containing 3","protein-coding"
"55735","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","protein-coding"
"100505887","LINC01672","long intergenic non-protein coding RNA 1672","ncRNA"
"110841581","CAMTA1-DT","CAMTA1 divergent transcript","ncRNA"
"23261","CAMTA1","calmodulin binding transcription activator 1","protein-coding"
"105376692","LOC105376692","",""
"102725193","CAMTA1-AS2","CAMTA1 antisense RNA 2","ncRNA"
"101928836","CAMTA1-AS1","CAMTA1 antisense RNA 1","ncRNA"
"105376691","LOC105376691","uncharacterized LOC105376691","ncRNA"
"105376689","LOC105376689","translation initiation factor IF-2","ncRNA"
"9341","VAMP3","vesicle associated membrane protein 3","protein-coding"
"8863","PER3","period circadian regulator 3","protein-coding"
"10911","UTS2","urotensin 2","protein-coding"
"3604","TNFRSF9","TNF receptor superfamily member 9","protein-coding"
"11315","PARK7","Parkinsonism associated deglycase","protein-coding"
"54206","ERRFI1","ERBB receptor feedback inhibitor 1","protein-coding"
"107984915","LOC107984915","uncharacterized LOC107984915","ncRNA"
"102724539","LINC01714","long intergenic non-protein coding RNA 1714","ncRNA"
"105376695","LOC105376695","uncharacterized LOC105376695","ncRNA"
"50651","SLC45A1","solute carrier family 45 member 1","protein-coding"
"473","RERE","arginine-glutamic acid dipeptide repeats","protein-coding"
"102724552","RERE-AS1","RERE antisense RNA 1","ncRNA"
"106632271","SNORD128","small nucleolar RNA, C/D box 128","snoRNA"
"2023","ENO1","enolase 1","protein-coding"
"102465436","MIR6728","microRNA 6728","ncRNA"
"100505975","ENO1-AS1","ENO1 antisense RNA 1","ncRNA"
"112268261","LOC112268261","uncharacterized LOC112268261","ncRNA"
"765","CA6","carbonic anhydrase 6","protein-coding"
"155184","SLC2A7","solute carrier family 2 member 7","protein-coding"
"6518","SLC2A5","solute carrier family 2 member 5","protein-coding"
"80045","GPR157","G protein-coupled receptor 157","protein-coding"
"106614088","MIR34AHG","MIR34A host gene","ncRNA"
"407040","MIR34A","microRNA 34a","ncRNA"
"102724571","LNCTAM34A","long non coding transcriptional activator of miR34a","ncRNA"
"9563","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase","protein-coding"
"80176","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1","protein-coding"
"100506022","LINC02606","long intergenic non-protein coding RNA 2606","ncRNA"
"84275","SLC25A33","solute carrier family 25 member 33","protein-coding"
"199953","TMEM201","transmembrane protein 201","protein-coding"
"107985734","LOC107985734","",""
"105376712","LOC105376712","uncharacterized LOC105376712","ncRNA"
"5293","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","protein-coding"
"644997","PIK3CD-AS1","PIK3CD antisense RNA 1","ncRNA"
"101929074","PIK3CD-AS2","PIK3CD antisense RNA 2","ncRNA"
"22883","CLSTN1","calsyntenin 1","protein-coding"
"56998","CTNNBIP1","catenin beta interacting protein 1","protein-coding"
"105376717","LOC105376717","uncharacterized LOC105376717","ncRNA"
"84328","LZIC","leucine zipper and CTNNBIP1 domain containing","protein-coding"
"64802","NMNAT1","nicotinamide nucleotide adenylyltransferase 1","protein-coding"
"113391335","TMEM274P","transmembrane protein 274, pseudogene","pseudo"
"100847055","MIR5697","microRNA 5697","ncRNA"
"116362","RBP7","retinol binding protein 7","protein-coding"
"10277","UBE4B","ubiquitination factor E4B","protein-coding"
"23095","KIF1B","kinesin family member 1B","protein-coding"
"105376725","LOC105376725","",""
"5226","PGD","phosphogluconate dehydrogenase","protein-coding"
"100526739","CENPS-CORT","CENPS-CORT readthrough","protein-coding"
"378708","CENPS","centromere protein S","protein-coding"
"1325","CORT","cortistatin","protein-coding"
"1676","DFFA","DNA fragmentation factor subunit alpha","protein-coding"
"5195","PEX14","peroxisomal biogenesis factor 14","protein-coding"
"54897","CASZ1","castor zinc finger 1","protein-coding"
"105376733","LOC105376733","uncharacterized LOC105376733","ncRNA"
"105376735","LOC105376735","uncharacterized LOC105376735","ncRNA"
"148345","C1orf127","chromosome 1 open reading frame 127","protein-coding"
"23435","TARDBP","TAR DNA binding protein","protein-coding"
"10747","MASP2","MBL associated serine protease 2","protein-coding"
"6723","SRM","spermidine synthase","protein-coding"
"5394","EXOSC10","exosome component 10","protein-coding"
"105376736","EXOSC10-AS1","EXOSC10 antisense RNA 1","ncRNA"
"2475","MTOR","mechanistic target of rapamycin kinase","protein-coding"
"100873935","MTOR-AS1","MTOR antisense RNA 1","ncRNA"
"10218","ANGPTL7","angiopoietin like 7","protein-coding"
"29914","UBIAD1","UbiA prenyltransferase domain containing 1","protein-coding"
"105376737","LOC105376737","uncharacterized LOC105376737","ncRNA"
"105376739","LOC105376739","uncharacterized LOC105376739","ncRNA"
"105376740","LOC105376740","uncharacterized LOC105376740","ncRNA"
"57540","DISP3","dispatched RND transporter family member 3","protein-coding"
"112268221","LOC112268221","",""
"101929181","LINC01647","long intergenic non-protein coding RNA 1647","ncRNA"
"26232","FBXO2","F-box protein 2","protein-coding"
"93611","FBXO44","F-box protein 44","protein-coding"
"26270","FBXO6","F-box protein 6","protein-coding"
"10459","MAD2L2","mitotic arrest deficient 2 like 2","protein-coding"
"374946","DRAXIN","dorsal inhibitory axon guidance protein","protein-coding"
"57085","AGTRAP","angiotensin II receptor associated protein","protein-coding"
"284498","C1orf167","chromosome 1 open reading frame 167","protein-coding"
"102724659","C1orf167-AS1","C1orf167 antisense RNA 1","ncRNA"
"4524","MTHFR","methylenetetrahydrofolate reductase","protein-coding"
"1185","CLCN6","chloride voltage-gated channel 6","protein-coding"
"100379251","NPPA-AS1","NPPA antisense RNA 1","ncRNA"
"4878","NPPA","natriuretic peptide A","protein-coding"
"4879","NPPB","natriuretic peptide B","protein-coding"
"26829","RNU5E-1","RNA, U5E small nuclear 1","snRNA"
"90231","KIAA2013","KIAA2013","protein-coding"
"5351","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","protein-coding"
"9927","MFN2","mitofusin 2","protein-coding"
"60672","MIIP","migration and invasion inhibitory protein","protein-coding"
"102466982","MIR6729","microRNA 6729","ncRNA"
"943","TNFRSF8","TNF receptor superfamily member 8","protein-coding"
"102465836","MIR7846","microRNA 7846","ncRNA"
"7133","TNFRSF1B","TNF receptor superfamily member 1B","protein-coding"
"100616438","MIR4632","microRNA 4632","ncRNA"
"107984917","LOC107984917","",""
"55187","VPS13D","vacuolar protein sorting 13 homolog D","protein-coding"
"677885","SNORA59A","small nucleolar RNA, H/ACA box 59A","snoRNA"
"105376744","LINC02766","long intergenic non-protein coding RNA 2766","ncRNA"
"9249","DHRS3","dehydrogenase/reductase 3","protein-coding"
"102466722","MIR6730","microRNA 6730","ncRNA"
"343066","AADACL4","arylacetamide deacetylase like 4","protein-coding"
"126767","AADACL3","arylacetamide deacetylase like 3","protein-coding"
"93190","CFAP107","cilia and flagella associated protein 107","protein-coding"
"390999","PRAMEF12","PRAME family member 12","protein-coding"
"65121","PRAMEF1","PRAME family member 1","protein-coding"
"105376745","LINC01784","long intergenic non-protein coding RNA 1784","ncRNA"
"440560","PRAMEF11","PRAME family member 11","protein-coding"
"343069","HNRNPCL1","heterogeneous nuclear ribonucleoprotein C like 1","protein-coding"
"65122","PRAMEF2","PRAME family member 2","protein-coding"
"400735","PRAMEF4","PRAME family member 4","protein-coding"
"343071","PRAMEF10","PRAME family member 10","protein-coding"
"441871","PRAMEF7","PRAME family member 7","protein-coding"
"440561","PRAMEF6","PRAME family member 6","protein-coding"
"101929983","PRAMEF27","PRAME family member 27","protein-coding"
"649330","HNRNPCL3","heterogeneous nuclear ribonucleoprotein C like 3","protein-coding"
"441873","PRAMEF25","PRAME family member 25","protein-coding"
"649324","PRAMEF34P","PRAME family member 34, pseudogene","pseudo"
"440563","HNRNPCL2","heterogeneous nuclear ribonucleoprotein C like 2","protein-coding"
"645354","PRAMEF36P","PRAME family member 36, pseudogene","pseudo"
"645359","PRAMEF26","PRAME family member 26","protein-coding"
"101060301","HNRNPCL4","heterogeneous nuclear ribonucleoprotein C like 4","protein-coding"
"343070","PRAMEF9","PRAME family member 9","protein-coding"
"400736","PRAMEF13","PRAME family member 13","protein-coding"
"391003","PRAMEF18","PRAME family member 18","protein-coding"
"343068","PRAMEF5","PRAME family member 5","protein-coding"
"391002","PRAMEF8","PRAME family member 8","protein-coding"
"645382","PRAMEF33","PRAME family member 33","protein-coding"
"653619","PRAMEF15","PRAME family member 15","protein-coding"
"729528","PRAMEF14","PRAME family member 14","protein-coding"
"645414","PRAMEF19","PRAME family member 19","protein-coding"
"391004","PRAMEF17","PRAME family member 17","protein-coding"
"645425","PRAMEF20","PRAME family member 20","protein-coding"
"126755","LRRC38","leucine rich repeat containing 38","protein-coding"
"102724856","LOC102724856","uncharacterized LOC102724856","ncRNA"
"107984918","LOC107984918","uncharacterized LOC107984918","ncRNA"
"10630","PDPN","podoplanin","protein-coding"
"107984919","LOC107984919","",""
"105378612","LOC105378612","uncharacterized LOC105378612","ncRNA"
"105376756","LOC105376756","uncharacterized LOC105376756","ncRNA"
"7799","PRDM2","PR/SET domain 2","protein-coding"
"23254","KAZN","kazrin, periplakin interacting protein","protein-coding"
"107985467","LOC107985467","uncharacterized LOC107985467","ncRNA"
"107985468","LOC107985468","",""
"105376762","KAZN-AS1","KAZN antisense RNA 1","ncRNA"
"105376759","LOC105376759","uncharacterized LOC105376759","ncRNA"
"107985469","LOC107985469","uncharacterized LOC107985469","ncRNA"
"200197","TMEM51-AS1","TMEM51 antisense RNA 1","ncRNA"
"55092","TMEM51","transmembrane protein 51","protein-coding"
"727684","TMEM51-AS2","TMEM51 antisense RNA 2","ncRNA"
"114827","FHAD1","forkhead associated phosphopeptide binding domain 1","protein-coding"
"101927417","FHAD1-AS1","FHAD1 antisense RNA 1","ncRNA"
"101927441","EFHD2-AS1","EFHD2 antisense RNA 1","ncRNA"
"79180","EFHD2","EF-hand domain family member D2","protein-coding"
"11330","CTRC","chymotrypsin C","protein-coding"
"63036","CELA2A","chymotrypsin like elastase 2A","protein-coding"
"105376767","LOC105376767","uncharacterized LOC105376767","ncRNA"
"51032","CELA2B","chymotrypsin like elastase 2B","protein-coding"
"842","CASP9","caspase 9","protein-coding"
"23341","DNAJC16","DnaJ heat shock protein family (Hsp40) member C16","protein-coding"
"107397391","SCARNA21B","small Cajal body-specific RNA 21B","ncRNA"
"79814","AGMAT","agmatinase","protein-coding"
"84301","DDI2","DNA damage inducible 1 homolog 2","protein-coding"
"6248","RSC1A1","regulator of solute carriers 1","protein-coding"
"23207","PLEKHM2","pleckstrin homology and RUN domain containing M2","protein-coding"
"284723","SLC25A34","solute carrier family 25 member 34","protein-coding"
"110806303","SLC25A34-AS1","SLC25A34 and TMEM82 antisense RNA 1","ncRNA"
"388595","TMEM82","transmembrane protein 82","protein-coding"
"54751","FBLIM1","filamin binding LIM protein 1","protein-coding"
"440567","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like","protein-coding"
"729614","SPEN-AS1","SPEN antisense RNA 1","ncRNA"
"23013","SPEN","spen family transcriptional repressor","protein-coding"
"7709","ZBTB17","zinc finger and BTB domain containing 17","protein-coding"
"149563","SRARP","steroid receptor associated and regulated protein","protein-coding"
"27129","HSPB7","heat shock protein family B (small) member 7","protein-coding"
"1187","CLCNKA","chloride voltage-gated channel Ka","protein-coding"
"1188","CLCNKB","chloride voltage-gated channel Kb","protein-coding"
"348487","FAM131C","family with sequence similarity 131 member C","protein-coding"
"1969","EPHA2","EPH receptor A2","protein-coding"
"101927479","EPHA2-AS1","EPHA2 antisense RNA 1","ncRNA"
"128272","ARHGEF19","Rho guanine nucleotide exchange factor 19","protein-coding"
"101927546","ANO7L1","anoctamin 7 like 1 (pseudogene)","pseudo"
"79363","CPLANE2","ciliogenesis and planar polarity effector complex subunit 2","protein-coding"
"54455","FBXO42","F-box protein 42","protein-coding"
"26099","SZRD1","SUZ RNA binding domain containing 1","protein-coding"
"374955","SPATA21","spermatogenesis associated 21","protein-coding"
"55707","NECAP2","NECAP endocytosis associated 2","protein-coding"
"107984921","LINC01772","long intergenic non-protein coding RNA 1772","ncRNA"
"114819","CROCCP3","CROCC pseudogene 3","pseudo"
"26871","RNU1-1","RNA, U1 small nuclear 1","snRNA"
"107985757","TRN-GTT5-1","tRNA-Asn (anticodon GTT) 5-1","tRNA"
"100132147","LINC01783","long intergenic non-protein coding RNA 1783","ncRNA"
"107985758","TRE-TTC4-1","tRNA-Glu (anticodon TTC) 4-1","tRNA"
"7195","TRG-CCC1-1","tRNA-Gly (anticodon CCC) 1-1","tRNA"
"55672","NBPF1","NBPF member 1","protein-coding"
"105376794","LOC105376794","",""
"84809","CROCCP2","CROCC pseudogene 2","pseudo"
"11209","MST1P2","macrophage stimulating 1 pseudogene 2","pseudo"
"107985736","LOC107985736","uncharacterized LOC107985736","ncRNA"
"26869","RNU1-3","RNA, U1 small nuclear 3","snRNA"
"107985759","TRG-CCC4-1","tRNA-Gly (CCC) 4-1","tRNA"
"284729","ESPNP","espin pseudogene","pseudo"
"100189045","TRG-CCC5-1","tRNA-Gly (CCC) 5-1","tRNA"
"6060","RNU1-4","RNA, U1 small nuclear 4","snRNA"
"11223","MST1L","macrophage stimulating 1 like (pseudogene)","pseudo"
"100500876","MIR3675","microRNA 3675","ncRNA"
"100189298","TRG-CCC1-2","tRNA-Gly (anticodon CCC) 1-2","tRNA"
"112267871","LOC112267871","uncharacterized LOC112267871","ncRNA"
"7193","TRE-TTC3-1","tRNA-Glu (anticodon TTC) 3-1","tRNA"
"100189183","TRN-GTT13-1","tRNA-Asn (GTT) 13-1","tRNA"
"105376805","LOC105376805","uncharacterized LOC105376805","ncRNA"
"791226","TRN-GTT4-1","tRNA-Asn (anticodon GTT) 4-1","tRNA"
"26870","RNU1-2","RNA, U1 small nuclear 2","snRNA"
"9696","CROCC","ciliary rootlet coiled-coil, rootletin","protein-coding"
"4237","MFAP2","microfibril associated protein 2","protein-coding"
"105376806","LOC105376806","uncharacterized LOC105376806","ncRNA"
"23400","ATP13A2","ATPase cation transporting 13A2","protein-coding"
"6390","SDHB","succinate dehydrogenase complex iron sulfur subunit B","protein-coding"
"11240","PADI2","peptidyl arginine deiminase 2","protein-coding"
"105376808","LOC105376808","uncharacterized LOC105376808","ncRNA"
"400743","LINC02783","long intergenic non-protein coding RNA 2783","ncRNA"
"29943","PADI1","peptidyl arginine deiminase 1","protein-coding"
"51702","PADI3","peptidyl arginine deiminase 3","protein-coding"
"100616188","MIR3972","microRNA 3972","ncRNA"
"23569","PADI4","peptidyl arginine deiminase 4","protein-coding"
"353238","PADI6","peptidyl arginine deiminase 6","protein-coding"
"55920","RCC2","regulator of chromosome condensation 2","protein-coding"
"55160","ARHGEF10L","Rho guanine nucleotide exchange factor 10 like","protein-coding"
"107984028","LINC02810","long intergenic non-protein coding RNA 2810","ncRNA"
"81569","ACTL8","actin like 8","protein-coding"
"105376809","LOC105376809","uncharacterized LOC105376809","ncRNA"
